"Story","Title","Result","Date","Stability","Duration (s)"
"Como cliente de app flutter deseo interactuar con los elementos","interacruar con elementos en app flutter","SUCCESS","2022-12-19T14:57:41.741224-05:00[America/Bogota]","0.0","88.3"
"Como cliente de app flutter deseo interactuar con los elementos","interactuar con elementos datepicker","SUCCESS","2023-01-12T15:30:29.52406-05:00[America/Bogota]","0.0","23.11"
"Como cliente de app flutter deseo interactuar con los elementos","interactuar con elementos formulario","SUCCESS","2023-01-12T15:31:13.902082-05:00[America/Bogota]","0.0","49.74"
